Title,Author,Genre,KobissID,Availability
"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction,36115,yes
"Phantom of Manhattan, The","Forsyth, Frederick",fiction,38637,yes
Ashenden of The British Agent,"Maugham, William S",fiction,46791,yes
Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,88319,yes
"Great War for Civilization, The","Fisk, Robert",nonfiction,33714,yes
We the Living,"Rand, Ayn",fiction,14755,yes
"Artist and the Mathematician, The","Aczel, Amir",science,73101,yes
History of Western Philosophy,"Russell, Bertrand",philosophy,14612,yes
Rationality & Freedom,"Sen, Amartya",science,96801,yes
Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",nonfiction,45278,yes
Uncommon Wisdom,"Capra, Fritjof",nonfiction,17230,yes
One,"Bach, Richard",nonfiction,36509,yes
To Sir With Love,Braithwaite,fiction,65314,yes
Half A Life,"Naipaul, V S",fiction,34789,yes
"Discovery of India, The","Nehru, Jawaharlal",nonfiction,56595,yes
Apulki,"Deshpande, P L",nonfiction,56267,yes
Unpopular Essays,"Russell, Bertrand",philosophy,63730,yes
"Deceiver, The","Forsyth, Frederick",fiction,30696,yes
Veil: Secret Wars of the CIA,"Woodward, Bob",nonfiction,10853,yes
Char Shabda,"Deshpande, P L",nonfiction,30095,yes
Rosy is My Relative,"Durrell, Gerald",fiction,56231,yes
"Moon and Sixpence, The","Maugham, William S",fiction,39691,yes
"Short History of the World, A","Wells, H G",nonfiction,49398,yes
"Trembling of a Leaf, The","Maugham, William S",fiction,13534,yes
Doctor on the Brain,"Gordon, Richard",fiction,16882,yes
Simpsons & Their Mathematical Secrets,"Singh, Simon",science,73748,yes
Pattern Classification,"Duda, Hart",tech,68614,yes
From Beirut to Jerusalem,"Friedman, Thomas",nonfiction,93485,yes
"Code Book, The","Singh, Simon",science,12304,yes
"Age of the Warrior, The","Fisk, Robert",nonfiction,37173,yes
"Numbers Behind Numb3rs, The","Devlin, Keith",science,44750,yes
"Life in Letters, A","Steinbeck, John",nonfiction,41713,yes
"Information, The","Gleick, James",science,52586,yes
Elements of Information Theory,"Thomas, Joy",tech,14346,yes
Power Electronics - Rashid,"Rashid, Muhammad",tech,60321,yes
Power Electronics - Mohan,"Mohan, Ned",tech,11049,yes
Neural Networks,"Haykin, Simon",tech,79940,yes
"Grapes of Wrath, The","Steinbeck, John",fiction,26811,yes
Vyakti ani Valli,"Deshpande, P L",nonfiction,97070,yes
Statistical Learning Theory,"Vapnik, Vladimir",tech,66471,yes
Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",nonfiction,10496,yes
Empire of the Mughal - Brothers at War,"Rutherford, Alex",nonfiction,84509,yes
